Country,Date,Approved_Value,Source
Afghanistan,2022-01-01,865,Actual
Afghanistan,2022-02-01,1650,Actual
Afghanistan,2022-03-01,2075,Actual
Afghanistan,2022-04-01,2215,Actual
Afghanistan,2022-05-01,2475,Actual
Afghanistan,2022-06-01,2145,Actual
Afghanistan,2022-07-01,1130,Actual
Afghanistan,2022-08-01,1225,Actual
Afghanistan,2022-09-01,3520,Actual
Afghanistan,2022-10-01,2660,Actual
Afghanistan,2022-11-01,2240,Actual
Afghanistan,2022-12-01,1545,Actual
Afghanistan,2023-01-01,715,Actual
Afghanistan,2023-02-01,875,Actual
Afghanistan,2023-03-01,1320,Actual
Afghanistan,2023-04-01,1110,Actual
Afghanistan,2023-05-01,2225,Actual
Afghanistan,2023-06-01,1430,Actual
Afghanistan,2023-07-01,2000,Actual
Afghanistan,2023-08-01,1250,Actual
Afghanistan,2023-09-01,2210,Actual
Afghanistan,2023-10-01,1400,Actual
Afghanistan,2023-11-01,3465,Actual
Afghanistan,2023-12-01,2180,Actual
Afghanistan,2024-01-01,1830,Actual
Afghanistan,2024-02-01,1745,Actual
Afghanistan,2024-03-01,1455,Actual
Afghanistan,2024-04-01,775,Actual
Afghanistan,2024-05-01,1250,Actual
Afghanistan,2024-06-01,950,Actual
Afghanistan,2024-07-01,900,Actual
Afghanistan,2024-08-01,665,Actual
Afghanistan,2024-09-01,730,Actual
Afghanistan,2024-10-01,670,Actual
Afghanistan,2024-11-01,670,Actual
Afghanistan,2024-12-01,645,Actual
Afghanistan,2025-01-01,384,Forecast
Afghanistan,2025-02-01,691,Forecast
Afghanistan,2025-03-01,889,Forecast
Afghanistan,2025-04-01,711,Forecast
Afghanistan,2025-05-01,1025,Forecast
Afghanistan,2025-06-01,813,Forecast
Afghanistan,2025-07-01,731,Forecast
Afghanistan,2025-08-01,609,Forecast
Afghanistan,2025-09-01,1191,Forecast
Afghanistan,2025-10-01,930,Forecast
Afghanistan,2025-11-01,1161,Forecast
Afghanistan,2025-12-01,841,Forecast
Afghanistan,2026-01-01,365,Forecast
Afghanistan,2026-02-01,514,Forecast
Afghanistan,2026-03-01,574,Forecast
Afghanistan,2026-04-01,448,Forecast
Afghanistan,2026-05-01,803,Forecast
Afghanistan,2026-06-01,542,Forecast
Afghanistan,2026-07-01,465,Forecast
Afghanistan,2026-08-01,286,Forecast
Afghanistan,2026-09-01,938,Forecast
Afghanistan,2026-10-01,583,Forecast
Afghanistan,2026-11-01,941,Forecast
Afghanistan,2026-12-01,527,Forecast
Albania,2022-01-01,50,Actual
Albania,2022-02-01,50,Actual
Albania,2022-03-01,65,Actual
Albania,2022-04-01,75,Actual
Albania,2022-05-01,40,Actual
Albania,2022-06-01,50,Actual
Albania,2022-07-01,35,Actual
Albania,2022-08-01,40,Actual
Albania,2022-09-01,55,Actual
Albania,2022-10-01,30,Actual
Albania,2022-11-01,15,Actual
Albania,2022-12-01,20,Actual
Albania,2023-01-01,85,Actual
Albania,2023-02-01,60,Actual
Albania,2023-03-01,70,Actual
Albania,2023-04-01,25,Actual
Albania,2023-05-01,65,Actual
Albania,2023-06-01,45,Actual
Albania,2023-07-01,75,Actual
Albania,2023-08-01,70,Actual
Albania,2023-09-01,30,Actual
Albania,2023-10-01,40,Actual
Albania,2023-11-01,40,Actual
Albania,2023-12-01,50,Actual
Albania,2024-01-01,110,Actual
Albania,2024-02-01,60,Actual
Albania,2024-03-01,55,Actual
Albania,2024-04-01,50,Actual
Albania,2024-05-01,60,Actual
Albania,2024-06-01,45,Actual
Albania,2024-07-01,40,Actual
Albania,2024-08-01,40,Actual
Albania,2024-09-01,40,Actual
Albania,2024-10-01,35,Actual
Albania,2024-11-01,45,Actual
Albania,2024-12-01,30,Actual
Albania,2025-01-01,60,Forecast
Albania,2025-02-01,59,Forecast
Albania,2025-03-01,59,Forecast
Albania,2025-04-01,54,Forecast
Albania,2025-05-01,55,Forecast
Albania,2025-06-01,51,Forecast
Albania,2025-07-01,51,Forecast
Albania,2025-08-01,52,Forecast
Albania,2025-09-01,49,Forecast
Albania,2025-10-01,46,Forecast
Albania,2025-11-01,46,Forecast
Albania,2025-12-01,44,Forecast
Albania,2026-01-01,66,Forecast
Albania,2026-02-01,59,Forecast
Albania,2026-03-01,61,Forecast
Albania,2026-04-01,53,Forecast
Albania,2026-05-01,56,Forecast
Albania,2026-06-01,52,Forecast
Albania,2026-07-01,55,Forecast
Albania,2026-08-01,55,Forecast
Albania,2026-09-01,49,Forecast
Albania,2026-10-01,46,Forecast
Albania,2026-11-01,45,Forecast
Albania,2026-12-01,46,Forecast
Algeria,2022-01-01,200,Actual
Algeria,2022-02-01,360,Actual
Algeria,2022-03-01,530,Actual
Algeria,2022-04-01,395,Actual
Algeria,2022-05-01,630,Actual
Algeria,2022-06-01,710,Actual
Algeria,2022-07-01,1085,Actual
Algeria,2022-08-01,390,Actual
Algeria,2022-09-01,735,Actual
Algeria,2022-10-01,490,Actual
Algeria,2022-11-01,300,Actual
Algeria,2022-12-01,350,Actual
Algeria,2023-01-01,225,Actual
Algeria,2023-02-01,265,Actual
Algeria,2023-03-01,320,Actual
Algeria,2023-04-01,285,Actual
Algeria,2023-05-01,510,Actual
Algeria,2023-06-01,530,Actual
Algeria,2023-07-01,875,Actual
Algeria,2023-08-01,325,Actual
Algeria,2023-09-01,760,Actual
Algeria,2023-10-01,540,Actual
Algeria,2023-11-01,335,Actual
Algeria,2023-12-01,280,Actual
Algeria,2024-01-01,400,Actual
Algeria,2024-02-01,395,Actual
Algeria,2024-03-01,385,Actual
Algeria,2024-04-01,765,Actual
Algeria,2024-05-01,800,Actual
Algeria,2024-06-01,985,Actual
Algeria,2024-07-01,1200,Actual
Algeria,2024-08-01,665,Actual
Algeria,2024-09-01,1075,Actual
Algeria,2024-10-01,555,Actual
Algeria,2024-11-01,560,Actual
Algeria,2024-12-01,470,Actual
Algeria,2025-01-01,469,Forecast
Algeria,2025-02-01,520,Forecast
Algeria,2025-03-01,549,Forecast
Algeria,2025-04-01,698,Forecast
Algeria,2025-05-01,809,Forecast
Algeria,2025-06-01,935,Forecast
Algeria,2025-07-01,1155,Forecast
Algeria,2025-08-01,747,Forecast
