Country,PR_Requested,PR_Approved,Approval_Rate
India,478156.0,385395,0.8060026434887358
Philippines,107403.0,81380,0.757706954181913
Afghanistan,78715.0,56210,0.7140951534015118
Nigeria,77251.0,59990,0.7765595267375179
Eritrea,48340.0,34935,0.7226934215970211
Pakistan,45436.0,35420,0.7795580596883529
Iran,45162.0,32945,0.7294849652362606
France,41978.0,34160,0.8137595883558054
United States of America,37686.0,30380,0.8061349042084593
Ukraine,36938.0,13470,0.36466511451621636
Syria,31058.0,25600,0.82426427973469
Colombia,30801.0,17300,0.5616700756468945
Mexico,28725.0,17380,0.6050478677110531
Algeria,27822.0,19680,0.7073538926029761
Morocco,25905.0,20420,0.7882648137425208
Brazil,25876.0,20555,0.7943654351522647
Haiti,24628.0,12595,0.5114097774890368
"Somalia, Democratic Republic of",21658.0,13920,0.6427186259119032
Tunisia,18846.0,13845,0.7346386501114295
"Korea, Republic of",18290.0,15040,0.8223072717331875
Ethiopia,18084.0,10730,0.5933421809334218
Bangladesh,16994.0,13615,0.801165117100153
United Kingdom and Overseas Territories,16993.0,13630,0.8020949802860001
Turkey,16787.0,6955,0.4143086912491809
Jamaica,16692.0,12310,0.7374790318715553
Lebanon,16498.0,12990,0.7873681658382834
"Congo, Democratic Republic of the",16188.0,12945,0.7996664195700519
Sri Lanka,12216.0,9020,0.7383759004584152
Iraq,10258.0,7475,0.7286995515695067
Venezuela,10074.0,6170,0.612467738733373
Egypt,9930.0,8015,0.8071500503524672
