North American Industry Classification System (NAICS),Release,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24
All industries  [T001] 6,2025-02-28,"18,63,035","18,72,372","18,77,319","18,81,089","18,92,936","19,01,582","19,04,250","19,00,262","19,07,872","19,13,355","19,14,614","19,17,559","19,09,603","19,07,049","19,05,988","19,05,441","19,04,409","19,09,593","19,14,406","19,18,458","19,10,530","19,12,301","19,16,787","19,18,886","19,30,434","19,24,854","19,17,766","19,22,103","19,11,266","19,20,490","19,31,887","19,36,423","19,41,422","19,40,404","19,47,701","19,53,152","19,62,254","19,69,304","19,78,060","19,87,668","19,92,055","19,96,878","19,96,019","19,94,122","19,99,220","19,99,518","20,08,970","20,14,340","20,20,721","20,31,403","20,39,914","20,40,275","20,47,718","20,50,188","20,54,500","20,56,138","20,59,567","20,63,118","20,59,427","20,62,691","20,67,478","20,61,962","20,73,732","20,86,598","20,92,359","20,96,319","20,97,225","20,97,381","20,98,372","20,99,541","20,99,164","21,09,773","21,11,889","21,16,239","19,56,667","17,47,909","18,27,719","19,35,937","19,86,260","20,06,168","20,24,936","20,37,235","20,50,923","20,56,578","20,69,959","20,74,161","20,95,037","20,74,294","20,68,403","20,86,880","21,01,011","21,18,070","21,27,260","21,44,935","21,56,435","21,65,059","21,57,548","21,73,306","21,88,890","21,87,675","21,93,450","21,98,676","22,01,010","22,06,930","22,10,482","22,06,747","22,05,410","21,98,020","22,19,088","22,23,989","22,30,182","22,29,312","22,31,269","22,28,073","22,28,857","22,31,565","22,30,741","22,34,639","22,38,191","22,34,502","22,43,050","22,52,129","22,52,172","22,61,040","22,63,162","22,63,910","22,66,598","22,69,814","22,76,020","22,83,430","22,77,856","22,83,094"
Accommodation and food services  [72],2025-01-31,"18,63,035","18,72,372","18,77,319","18,81,089","18,92,936","19,01,582","19,04,250","19,00,262","19,07,872","19,13,355","19,14,614","19,17,559","19,09,603","19,07,049","19,05,988","19,05,441","19,04,409","19,09,593","19,14,406","19,18,458","19,10,530","19,12,301","19,16,787","19,18,886","19,30,434","19,24,854","19,17,766","19,22,103","19,11,266","19,20,490","19,31,887","19,36,423","19,41,422","19,40,404","19,47,701","19,53,152","19,62,254","19,69,304","19,78,060","19,87,668","19,92,055","19,96,878","19,96,019","19,94,122","19,99,220","19,99,518","20,08,970","20,14,340","20,20,721","20,31,403","20,39,914","20,40,275","20,47,718","20,50,188","20,54,500","20,56,138","20,59,567","20,63,118","20,59,427","20,62,691","20,67,478","20,61,962","20,73,732","20,86,598","20,92,359","20,96,319","20,97,225","20,97,381","20,98,372","20,99,541","20,99,164","21,09,773","21,11,889","21,16,239","19,56,667","17,47,909","18,27,719","19,35,937","19,86,260","20,06,168","20,24,936","20,37,235","20,50,923","20,56,578","20,69,959","20,74,161","20,95,037","20,74,294","20,68,403","20,86,880","21,01,011","21,18,070","21,27,260","21,44,935","21,56,435","21,65,059","21,57,548","21,73,306","21,88,890","21,87,675","21,93,450","21,98,676","22,01,010","22,06,930","22,10,482","22,06,747","22,05,410","21,98,020","22,19,088","22,23,989","22,30,182","22,29,312","22,31,269","22,28,073","22,28,857","22,31,565","22,30,741","22,34,639","22,38,191","22,34,502","22,42,589","22,50,321","22,49,393","22,58,158","22,60,117","22,61,007","22,62,831","22,64,690","22,70,072","22,77,936","22,72,361",..
Accommodation and food services  [72],2024-12-23,"18,63,035","18,72,372","18,77,319","18,81,089","18,92,936","19,01,582","19,04,250","19,00,262","19,07,872","19,13,355","19,14,614","19,17,559","19,09,603","19,07,049","19,05,988","19,05,441","19,04,409","19,09,593","19,14,406","19,18,458","19,10,530","19,12,301","19,16,787","19,18,886","19,30,434","19,24,854","19,17,766","19,22,103","19,11,266","19,20,490","19,31,887","19,36,423","19,41,422","19,40,404","19,47,701","19,53,152","19,62,254","19,69,304","19,78,060","19,87,668","19,92,055","19,96,878","19,96,019","19,94,122","19,99,220","19,99,518","20,08,970","20,14,340","20,20,721","20,31,403","20,39,914","20,40,275","20,47,718","20,50,188","20,54,500","20,56,138","20,59,567","20,63,118","20,59,427","20,62,691","20,67,478","20,61,962","20,73,732","20,86,598","20,92,359","20,96,319","20,97,225","20,97,381","20,98,372","20,99,541","20,99,164","21,09,773","21,11,889","21,16,239","19,56,667","17,47,909","18,27,719","19,35,937","19,86,260","20,06,168","20,24,936","20,37,235","20,50,923","20,56,578","20,69,959","20,74,161","20,95,037","20,74,294","20,68,403","20,86,880","21,01,011","21,18,070","21,27,260","21,44,935","21,56,435","21,65,059","21,57,548","21,73,306","21,88,890","21,87,675","21,93,450","21,98,676","22,01,010","22,06,930","22,10,482","22,06,747","22,05,410","21,98,020","22,19,088","22,23,989","22,30,182","22,29,312","22,31,269","22,28,073","22,28,857","22,31,565","22,30,741","22,34,639","22,38,191","22,34,502","22,42,265","22,49,888","22,48,842","22,57,127","22,59,508","22,60,473","22,62,854","22,64,354","22,69,777","22,76,983",..,..
Accommodation and food services  [72],2024-11-29,"18,63,035","18,72,372","18,77,319","18,81,089","18,92,936","19,01,582","19,04,250","19,00,262","19,07,872","19,13,355","19,14,614","19,17,559","19,09,603","19,07,049","19,05,988","19,05,441","19,04,409","19,09,593","19,14,406","19,18,458","19,10,530","19,12,301","19,16,787","19,18,886","19,30,434","19,24,854","19,17,766","19,22,103","19,11,266","19,20,490","19,31,887","19,36,423","19,41,422","19,40,404","19,47,701","19,53,152","19,62,254","19,69,304","19,78,060","19,87,668","19,92,055","19,96,878","19,96,019","19,94,122","19,99,220","19,99,518","20,08,970","20,14,340","20,20,721","20,31,403","20,39,914","20,40,275","20,47,718","20,50,188","20,54,500","20,56,138","20,59,567","20,63,118","20,59,427","20,62,691","20,67,478","20,61,962","20,73,732","20,86,598","20,92,359","20,96,319","20,97,225","20,97,381","20,98,372","20,99,541","20,99,164","21,09,773","21,11,889","21,16,239","19,56,667","17,47,909","18,27,719","19,35,937","19,86,260","20,06,168","20,24,936","20,37,235","20,50,923","20,56,578","20,69,959","20,74,161","20,95,037","20,74,294","20,68,403","20,86,880","21,01,011","21,18,070","21,27,260","21,44,935","21,56,435","21,65,059","21,57,548","21,73,306","21,88,890","21,87,675","21,93,450","21,98,676","22,01,010","22,06,930","22,10,482","22,06,747","22,05,410","21,98,020","22,19,088","22,23,989","22,30,182","22,29,312","22,31,269","22,28,073","22,28,857","22,31,565","22,30,741","22,34,639","22,38,191","22,34,502","22,42,255","22,49,884","22,48,974","22,57,254","22,59,892","22,60,912","22,63,549","22,64,036","22,65,762",..,..,..
Accommodation and food services  [72],2024-10-31,"18,63,035","18,72,372","18,77,319","18,81,089","18,92,936","19,01,582","19,04,250","19,00,262","19,07,872","19,13,355","19,14,614","19,17,559","19,09,603","19,07,049","19,05,988","19,05,441","19,04,409","19,09,593","19,14,406","19,18,458","19,10,530","19,12,301","19,16,787","19,18,886","19,30,434","19,24,854","19,17,766","19,22,103","19,11,266","19,20,490","19,31,887","19,36,423","19,41,422","19,40,404","19,47,701","19,53,152","19,62,254","19,69,304","19,78,060","19,87,668","19,92,055","19,96,878","19,96,019","19,94,122","19,99,220","19,99,518","20,08,970","20,14,340","20,20,721","20,31,403","20,39,914","20,40,275","20,47,718","20,50,188","20,54,500","20,56,138","20,59,567","20,63,118","20,59,427","20,62,691","20,67,478","20,61,962","20,73,732","20,86,598","20,92,359","20,96,319","20,97,225","20,97,381","20,98,372","20,99,541","20,99,164","21,09,773","21,14,210","21,18,330","19,59,569","17,49,376","18,29,021","19,35,578","19,85,603","20,04,911","20,23,883","20,35,550","20,49,508","20,52,921","20,61,870","20,65,797","20,88,503","20,67,190","20,58,230","20,76,121","20,89,072","21,05,441","21,11,870","21,27,417","21,37,002","21,40,435","21,38,449","21,54,659","21,69,435","21,67,945","21,73,925","21,79,345","21,80,920","21,87,444","21,91,747","21,87,842","21,87,964","21,81,765","21,98,069","21,99,464","22,02,871","21,99,577","22,04,299","22,00,637","22,01,229","22,03,079","22,01,939","22,03,134","22,07,156","22,04,271","22,14,112","22,18,825","22,18,436","22,26,675","22,30,058","22,29,720","22,32,308","22,31,880",..,..,..,..
Goods-producing industries  [T002] 6,2025-02-28,"5,24,256","5,30,386","5,31,705","5,34,836","5,39,687","5,43,859","5,42,469","5,35,966","5,42,208","5,46,127","5,46,021","5,46,868","5,42,604","5,38,444","5,35,146","5,32,254","5,32,706","5,33,050","5,35,165","5,40,272","5,32,098","5,31,775","5,32,357","5,32,036","5,35,618","5,30,212","5,24,772","5,26,789","5,14,234","5,21,424","5,28,131","5,29,972","5,31,708","5,30,060","5,34,229","5,37,681","5,41,243","5,41,117","5,43,571","5,47,314","5,49,602","5,51,174","5,52,649","5,46,788","5,49,159","5,48,010","5,52,832","5,53,561","5,55,891","5,61,587","5,68,051","5,67,485","5,66,040","5,67,748","5,68,844","5,66,429","5,65,498","5,65,148","5,61,699","5,58,824","5,58,703","5,57,700","5,63,088","5,69,995","5,73,348","5,72,246","5,68,252","5,66,933","5,67,269","5,66,814","5,65,109","5,66,539","5,63,763","5,69,167","5,40,118","4,59,642","5,00,095","5,27,771","5,37,457","5,38,984","5,42,336","5,45,901","5,51,391","5,56,875","5,61,925","5,58,614","5,62,678","5,58,097","5,54,883","5,58,590","5,56,410","5,56,498","5,54,135","5,62,525","5,60,557","5,65,800","5,71,962","5,76,730","5,80,504","5,81,748","5,81,473","5,84,583","5,84,429","5,85,656","5,86,695","5,81,375","5,79,773","5,72,824","5,77,810","5,79,585","5,81,292","5,81,353","5,75,474","5,76,001","5,76,317","5,76,148","5,73,910","5,75,070","5,78,424","5,77,428","5,72,882","5,76,342","5,76,305","5,78,544","5,79,840","5,78,464","5,77,321","5,77,596","5,77,447","5,81,676","5,77,644","5,79,526"
Accommodation and food services  [72],2025-01-31,"5,24,256","5,30,386","5,31,705","5,34,836","5,39,687","5,43,859","5,42,469","5,35,966","5,42,208","5,46,127","5,46,021","5,46,868","5,42,604","5,38,444","5,35,146","5,32,254","5,32,706","5,33,050","5,35,165","5,40,272","5,32,098","5,31,775","5,32,357","5,32,036","5,35,618","5,30,212","5,24,772","5,26,789","5,14,234","5,21,424","5,28,131","5,29,972","5,31,708","5,30,060","5,34,229","5,37,681","5,41,243","5,41,117","5,43,571","5,47,314","5,49,602","5,51,174","5,52,649","5,46,788","5,49,159","5,48,010","5,52,832","5,53,561","5,55,891","5,61,587","5,68,051","5,67,485","5,66,040","5,67,748","5,68,844","5,66,429","5,65,498","5,65,148","5,61,699","5,58,824","5,58,703","5,57,700","5,63,088","5,69,995","5,73,348","5,72,246","5,68,252","5,66,933","5,67,269","5,66,814","5,65,109","5,66,539","5,63,763","5,69,167","5,40,118","4,59,642","5,00,095","5,27,771","5,37,457","5,38,984","5,42,336","5,45,901","5,51,391","5,56,875","5,61,925","5,58,614","5,62,678","5,58,097","5,54,883","5,58,590","5,56,410","5,56,498","5,54,135","5,62,525","5,60,557","5,65,800","5,71,962","5,76,730","5,80,504","5,81,748","5,81,473","5,84,583","5,84,429","5,85,656","5,86,695","5,81,375","5,79,773","5,72,824","5,77,810","5,79,585","5,81,292","5,81,353","5,75,474","5,76,001","5,76,317","5,76,148","5,73,910","5,75,070","5,78,424","5,77,428","5,72,599","5,75,617","5,75,260","5,77,725","5,79,216","5,77,765","5,76,464","5,76,221","5,75,915","5,80,876","5,77,328",..
Accommodation and food services  [72],2024-12-23,"5,24,256","5,30,386","5,31,705","5,34,836","5,39,687","5,43,859","5,42,469","5,35,966","5,42,208","5,46,127","5,46,021","5,46,868","5,42,604","5,38,444","5,35,146","5,32,254","5,32,706","5,33,050","5,35,165","5,40,272","5,32,098","5,31,775","5,32,357","5,32,036","5,35,618","5,30,212","5,24,772","5,26,789","5,14,234","5,21,424","5,28,131","5,29,972","5,31,708","5,30,060","5,34,229","5,37,681","5,41,243","5,41,117","5,43,571","5,47,314","5,49,602","5,51,174","5,52,649","5,46,788","5,49,159","5,48,010","5,52,832","5,53,561","5,55,891","5,61,587","5,68,051","5,67,485","5,66,040","5,67,748","5,68,844","5,66,429","5,65,498","5,65,148","5,61,699","5,58,824","5,58,703","5,57,700","5,63,088","5,69,995","5,73,348","5,72,246","5,68,252","5,66,933","5,67,269","5,66,814","5,65,109","5,66,539","5,63,763","5,69,167","5,40,118","4,59,642","5,00,095","5,27,771","5,37,457","5,38,984","5,42,336","5,45,901","5,51,391","5,56,875","5,61,925","5,58,614","5,62,678","5,58,097","5,54,883","5,58,590","5,56,410","5,56,498","5,54,135","5,62,525","5,60,557","5,65,800","5,71,962","5,76,730","5,80,504","5,81,748","5,81,473","5,84,583","5,84,429","5,85,656","5,86,695","5,81,375","5,79,773","5,72,824","5,77,810","5,79,585","5,81,292","5,81,353","5,75,474","5,76,001","5,76,317","5,76,148","5,73,910","5,75,070","5,78,424","5,77,428","5,72,666","5,75,594","5,75,264","5,77,664","5,79,198","5,77,842","5,76,904","5,76,241","5,75,766","5,80,810",..,..
Accommodation and food services  [72],2024-11-29,"5,24,256","5,30,386","5,31,705","5,34,836","5,39,687","5,43,859","5,42,469","5,35,966","5,42,208","5,46,127","5,46,021","5,46,868","5,42,604","5,38,444","5,35,146","5,32,254","5,32,706","5,33,050","5,35,165","5,40,272","5,32,098","5,31,775","5,32,357","5,32,036","5,35,618","5,30,212","5,24,772","5,26,789","5,14,234","5,21,424","5,28,131","5,29,972","5,31,708","5,30,060","5,34,229","5,37,681","5,41,243","5,41,117","5,43,571","5,47,314","5,49,602","5,51,174","5,52,649","5,46,788","5,49,159","5,48,010","5,52,832","5,53,561","5,55,891","5,61,587","5,68,051","5,67,485","5,66,040","5,67,748","5,68,844","5,66,429","5,65,498","5,65,148","5,61,699","5,58,824","5,58,703","5,57,700","5,63,088","5,69,995","5,73,348","5,72,246","5,68,252","5,66,933","5,67,269","5,66,814","5,65,109","5,66,539","5,63,763","5,69,167","5,40,118","4,59,642","5,00,095","5,27,771","5,37,457","5,38,984","5,42,336","5,45,901","5,51,391","5,56,875","5,61,925","5,58,614","5,62,678","5,58,097","5,54,883","5,58,590","5,56,410","5,56,498","5,54,135","5,62,525","5,60,557","5,65,800","5,71,962","5,76,730","5,80,504","5,81,748","5,81,473","5,84,583","5,84,429","5,85,656","5,86,695","5,81,375","5,79,773","5,72,824","5,77,810","5,79,585","5,81,292","5,81,353","5,75,474","5,76,001","5,76,317","5,76,148","5,73,910","5,75,070","5,78,424","5,77,428","5,72,833","5,75,835","5,75,539","5,77,923","5,79,607","5,78,297","5,78,044","5,76,643","5,74,697",..,..,..
Accommodation and food services  [72],2024-10-31,"5,24,256","5,30,386","5,31,705","5,34,836","5,39,687","5,43,859","5,42,469","5,35,966","5,42,208","5,46,127","5,46,021","5,46,868","5,42,604","5,38,444","5,35,146","5,32,254","5,32,706","5,33,050","5,35,165","5,40,272","5,32,098","5,31,775","5,32,357","5,32,036","5,35,618","5,30,212","5,24,772","5,26,789","5,14,234","5,21,424","5,28,131","5,29,972","5,31,708","5,30,060","5,34,229","5,37,681","5,41,243","5,41,117","5,43,571","5,47,314","5,49,602","5,51,174","5,52,649","5,46,788","5,49,159","5,48,010","5,52,832","5,53,561","5,55,891","5,61,587","5,68,051","5,67,485","5,66,040","5,67,748","5,68,844","5,66,429","5,65,498","5,65,148","5,61,699","5,58,824","5,58,703","5,57,700","5,63,088","5,69,995","5,73,348","5,72,246","5,68,252","5,66,933","5,67,269","5,66,814","5,65,109","5,66,539","5,64,416","5,69,394","5,41,362","4,59,461","4,99,378","5,26,681","5,36,761","5,38,830","5,42,701","5,46,101","5,52,321","5,56,094","5,61,315","5,58,849","5,65,374","5,61,939","5,56,921","5,60,464","5,56,448","5,57,143","5,53,581","5,63,630","5,64,170","5,67,810","5,74,718","5,77,927","5,82,189","5,83,030","5,81,533","5,85,385","5,83,804","5,86,304","5,86,466","5,82,069","5,81,719","5,75,568","5,78,968","5,79,511","5,80,284","5,78,599","5,75,128","5,74,138","5,73,534","5,72,204","5,70,146","5,70,051","5,74,129","5,71,027","5,69,803","5,70,644","5,70,320","5,71,250","5,74,004","5,71,289","5,71,399","5,69,157",..,..,..,..
